"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"DS1","WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf","Display:WC1602A","1",""
"P1","Power","","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","1",""
"P2","Analog","","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06","1",""
"P3,P4","Digital","","-- mixed values --","2",""
"P5,P6,P7,P8","CONN_01X01","","Socket_Arduino_Uno:Arduino_1pin","4",""
"Q1","2N7002","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Package_TO_SOT_SMD:SOT-23","1",""
"R1","0","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","DNF","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","DNP"
"R3","33","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R5","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"RV1","R_Potentiometer","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
