Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.212500,8.000000,0.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",4.037500,37.655000,180.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",4.037500,35.750000,180.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.212500,37.500000,0.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.212500,35.500000,0.000000,top
"DS1","WC1602A","WC1602A",2.540000,40.640000,0.000000,top
"P1","Power","Socket_Strip_Arduino_1x08",27.940000,2.540000,0.000000,top
"P2","Analog","Socket_Strip_Arduino_1x06",50.800000,2.540000,0.000000,top
"P3","Digital","Socket_Strip_Arduino_1x10",18.796000,50.800000,0.000000,top
"P4","Digital","Socket_Strip_Arduino_1x08",45.720000,50.800000,0.000000,top
"P5","CONN_01X01","Arduino_1pin",13.970000,2.540000,0.000000,top
"P6","CONN_01X01","Arduino_1pin",66.040000,7.620000,0.000000,top
"P7","CONN_01X01","Arduino_1pin",15.240000,50.800000,0.000000,top
"P8","CONN_01X01","Arduino_1pin",66.040000,35.560000,0.000000,top
"Q1","2N7002","SOT-23",48.937500,40.750000,180.000000,top
"R1","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.115000,5.715000,180.000000,top
"R2","DNF","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.545000,5.715000,0.000000,top
"R3","33","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.500000,40.750000,0.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",43.000000,36.500000,90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",12.500000,37.000000,0.000000,top
"RV1","R_Potentiometer","Potentiometer_Bourns_3296W_Vertical",3.175000,50.165000,180.000000,top
